OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
BOTU_2077,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas_indica,BOTU_2077_Pseudoxanthomonas_indica
BOTU_2080,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,uncultured_bacterium,BOTU_2080_uncultured_bacterium
BOTU_2079,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured_bacterium,unidentified,unidentified,unidentified,BOTU_2079_uncultured_bacterium
BOTU_2088,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2088_unidentified
BOTU_2086,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,BOTU_2086_uncultured_bacterium
BOTU_2087,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_bacterium,BOTU_2087_uncultured_bacterium
BOTU_2083,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Siphonobacter,Siphonobacter_aquaeclarae,BOTU_2083_Siphonobacter_aquaeclarae
BOTU_2089,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,unidentified,BOTU_2089_uncultured
BOTU_2090,Bacteria,uncultured_bacterium,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2090_uncultured_bacterium
BOTU_2093,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_bacterium,BOTU_2093_uncultured_bacterium
BOTU_2094,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,uncultured_Planctomycetales,BOTU_2094_uncultured_Planctomycetales
BOTU_2081,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,metagenome,BOTU_2081_metagenome
BOTU_2078,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,unidentified,BOTU_2078_SC-I-84
BOTU_2085,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus_Alysiosphaera,uncultured_bacterium,BOTU_2085_uncultured_bacterium
BOTU_2100,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_planctomycete,BOTU_2100_uncultured_planctomycete
BOTU_2095,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,uncultured_Polyangiaceae,BOTU_2095_uncultured_Polyangiaceae
BOTU_2092,Bacteria,Acidobacteriota,Blastocatellia,DS-100,DS-100,DS-100,unidentified,BOTU_2092_DS-100
BOTU_2091,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured_bacterium,BOTU_2091_uncultured_bacterium
BOTU_2099,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae,uncultured_bacterium,BOTU_2099_uncultured_bacterium
BOTU_2097,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,uncultured_Ktedobacteria,BOTU_2097_uncultured_Ktedobacteria
BOTU_2098,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,uncultured_bacterium,BOTU_2098_uncultured_bacterium
BOTU_2096,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,uncultured_bacterium,BOTU_2096_uncultured_bacterium
BOTU_2103,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,unidentified,BOTU_2103_uncultured
BOTU_2104,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,unidentified,unidentified,BOTU_2104_Chitinophagaceae
BOTU_2102,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1,uncultured_bacterium,BOTU_2102_uncultured_bacterium
BOTU_2101,Bacteria,Armatimonadota,uncultured,uncultured,uncultured,uncultured,uncultured_bacterium,BOTU_2101_uncultured_bacterium
BOTU_2107,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,unidentified,BOTU_2107_Mucilaginibacter
